Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Aruba,ABW,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.75109004974365,5.91466999053955,6.3472900390625,6.44295978546143,5.85128021240234,5.88826990127563,5.49136018753052,4.45581996127504,4.54876355243615,4.43503686776957,..,3.61855755636695,..,..,..
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,24093.1401510626,25712.3843015186,25119.6655449838,25813.5714408438,26129.8390617693,27458.2201537506,27441.5502144601,28440.0416881491,30082.1584226798,30645.8906024548,22759.8071750722,26749.3296093118,30975.9989121779,35718.7531191634,39498.5941293797
Aruba,ABW,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"School enrollment, secondary (% gross)",SE.SEC.ENRR,98.2207412719727,96.633918762207,108.976188659668,..,..,..,..,..,137.829788208008,139.320587158203,135.124725341797,123.625907897949,131.802169799805,..,124.379366731084
Australia,AUS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,11.548,11.37,11.728,12.22,13.311,13.11,12.642,12.592,11.935,11.452,14.142,11.134,8.468,8.388,9.408
Australia,AUS,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,10.6374306869352,10.6224816956753,10.1642556565603,10.3980090417696,10.1205203021911,10.1963602012578,10.4038369950611,9.98297045286625,9.76474000840711,9.82873725665,9.62077427345308,9.59602083427141,9.37931001488805,9.25879255732326,9.18719099926964
Australia,AUS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,5.38625001907349,5.34109020233154,5.05915021896362,..,..
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,52313.8939041213,62799.3895017032,68301.4402512587,68476.6788496118,62817.2061751737,56970.3613028094,50084.4440606385,54117.547718609,57410.1737346009,55194.7585097428,51983.4523666382,60758.9044397144,65169.5191118657,65058.3773146674,64603.9856308464
Australia,AUS,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,68.431,68.142,67.522,66.824,66.563,67.266,66.788,66.896,67.649,67.692,65.532,68.477,71.405,70.817,70.188
Australia,AUS,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,159.110763549805,155.594390869141,153.576126098633,136.105545043945,144.056564331055,137.490737915039,135.526565551758,133.277267456055,134.099243164062,131.931564331055
Austria,AUT,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,9.673,9.173,9.561,9.767,10.508,10.91,11.424,9.971,9.572,8.767,10.325,12.023,10.327,10.98,10.428
Austria,AUT,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,11.3339723954727,10.694142700634,10.3938915067999,10.529302353387,10.4007369432489,10.2087792165021,9.83301455145515,9.38495596861514,9.12127558183906,8.88849698883418,8.99178926481383,8.76606320213368,8.18266106209311,7.89303332366762,7.86642899435777
Austria,AUT,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.73625993728638,5.62787008285522,5.51612997055054,5.59404993057251,5.49767017364502,5.49143981933594,5.50954008102417,5.40181016921997,5.25437021255493,5.23678016662598,5.57961988449097,5.48071002960205,5.27749013900757,..,..
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,46611.1393420232,51116.8953522042,48250.4059142637,50305.3545774973,51314.9722616322,43915.228020857,45061.4993920192,47163.7425775142,51194.0749841299,49885.9947355204,48716.4098900349,53648.6437976214,52336.7725223758,56579.504175468,58268.8787651601
Austria,AUT,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,57.222,58.012,58.159,57.747,57.08,56.506,56.663,54.941,55.829,55.506,55.572,55.704,56.606,58.151,57.24
Austria,AUT,"School enrollment, secondary (% gross)",SE.SEC.ENRR,100.263969421387,99.6729583740234,100.108726501465,101.173210144043,101.304809570312,101.411582946777,100.227989196777,100.337898254395,100.692596435547,101.543632507324,101.690559387207,102.307662963867,101.458000183105,100.504371643066,100.622657775879
Azerbaijan,AZE,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,14.64,14.52,13.974,13.478,13.415,13.363,12.925,12.389,11.637,11.475,15.129,14.675,13.616,13.581,13.544
Azerbaijan,AZE,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,55.9698653033254,57.5386634407561,57.1286972828041,56.4352439885177,56.7178915097316,55.350505621417,55.0501782403119,55.1200615079564,55.1666537127637,55.1658690396931,54.9686291288053,54.474235817507,54.3428702003442,54.2004925396543,54.0332907843918
Azerbaijan,AZE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.78062009811401,2.43564009666443,2.06763005256653,2.44213008880615,2.63303995132446,2.95167994499206,2.90340995788574,2.4738199710846,2.45543003082275,3.1764600276947,4.33204984664917,3.7020800113678,3.04689002037048,3.66036009788513,..
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,5843.5337683582,7189.81869211976,7495.86527658099,7875.34536661549,7890.84028062087,5500.50364628486,3880.6852276838,4147.1981423222,4739.7943123408,4805.75371765917,4229.91064904503,5408.04535175023,7770.594223351,7133.02838048328,7283.8499076179
Azerbaijan,AZE,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,33.583,33.294,33.336,34.235,35.907,37.504,40.068,41.907,43.545,43.325,46.249,41.269,43.323,43.223,43.175
Azerbaijan,AZE,"School enrollment, secondary (% gross)",SE.SEC.ENRR,83.0853181521079,82.9176205382172,82.762274922741,83.1376553563209,83.4386600193183,84.8098586425184,86.5856935803605,89.2625164667822,108.488781124,107.863960509557,91.365513501165,91.4106367606057,90.9530364179442,92.7402972401367,91.1228035886648
"Bahamas, The",BHS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,26.552,27.004,30.359,34.465,28.993,24.781,25.844,21.547,24.16,19.235,23.943,21.768,18.694,17.696,18.291
"Bahamas, The",BHS,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,13.7019689770979,14.0940783876065,13.9964093745607,13.9710182953161,13.8809396521903,13.8860602376067,13.7765675818773,13.7436737841616,13.7384796750683,13.7163102619258,14.2903535006992,14.7841636024782,15.4526381655226,16.0789212824029,15.9601436200924
"Bahamas, The",BHS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.45165990475209,2.35576638581195,2.30391197238935,2.4242884241713,2.24714705533939,2.2723175918231,2.58786212973921,2.69510162053495,2.49264112462151,2.62573176503127,3.7125229961238,3.04890655208507,2.62367021406169,2.74191570247934,..
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,27473.100430502,27090.8376801379,28552.0242683151,27642.7419759179,29137.2175632622,30719.405417469,30616.5363157284,31875.4881749619,32642.3353203452,33640.3369861278,26178.7537607708,30367.8605757708,34957.1613279737,38231.774484278,39455.4466548546
"Bahamas, The",BHS,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,58.767,58.822,58.88,58.939,58.998,59.056,59.113,59.17,59.227,59.284,52.742,54.571,58.879,59.018,59.081
"Bahamas, The",BHS,"School enrollment, secondary (% gross)",SE.SEC.ENRR,91.0886370856719,89.2416368950958,92.1807628524046,84.6595407759303,91.6218404766036,76.0440338812974,85.0686327399149,92.6182585115999,80.8808929269834,78.566734376867,..,72.6381880061026,..,87.1455240465819,79.4858750299258
Bahrain,BHR,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,4.953,5.283,5.425,5.439,5.398,5.427,5.527,5.593,5.633,5.657,6.389,6.043,5.33,5.381,5.469
